Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S26N	we ? yeah we did we did we had a lovely time yeah and when we come back the budgie	's sitting	on eggs yeah she 's on on on the day is n't she ? yeah we got a thrushes nest	we_PPIS2 ?_YQUE yeah_UH we_PPIS2 did_VDD we_PPIS2 did_VDD we_PPIS2 had_VHD a_AT1 lovely_JJ time_NNT1 yeah_UH and_CC when_CS we_PPIS2 come_VV0 back_RP the_AT budgie_NN1	's_VBZ sitting_VVG	on_II eggs_NN2 yeah_UH she_PPHS1 's_VBZ on_II on_II on_II the_AT day_NNT1 is_VBZ n't_XX she_PPHS1 ?_YQUE yeah_UH we_PPIS2 got_VVD a_AT1 thrushes_NN2 nest_VV0	Back from Cornwall	Discussing, Explaining, Announcing	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-12	1:48:08	Speaker's home	2015 Q2	2015	Close family, partners, very close friends	School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=0	59713	59714
2	S2NQ	ring the police yeah bathroom door was closed you 'd make sure where your where your your girlfriend was you	're standing	there with a gun yeah you call the police and you 've got them on guard till the police get	ring_VV0 the_AT police_NN2 yeah_UH bathroom_NN1 door_NN1 was_VBDZ closed_JJ you_PPY 'd_VM make_VVI sure_JJ where_CS your_APPGE where_CS your_APPGE your_APPGE girlfriend_NN1 was_VBDZ you_PPY	're_VBR standing_VVG	there_RL with_IW a_AT1 gun_NN1 yeah_UH you_PPY call_VV0 the_AT police_NN2 and_CC you_PPY 've_VH0 got_VVN them_PPHO2 on_II guard_NN1 till_II the_AT police_NN2 get_VV0	Chatting over coffee with my cleaning lady.	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0255 S0259 S0260	3	2014-10-14	0:22:17	ANON's home	2014 Q4	2014	Friends, wider family circle	Celebrity Trials, wild birds, wildlife, geese, migration.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=1	276517	276518
3	S2PY	all be sort of like dry blood on them and stuff that 's it yeah yeah yeah mm why I	was sitting	in the back I do n't know mm but they were just sort of like there 's probably a couple	all_DB be_VBI sort_RR21 of_RR22 like_RR dry_JJ blood_NN1 on_II them_PPHO2 and_CC stuff_NN1 that_DD1 's_VBZ it_PPH1 yeah_UH yeah_UH yeah_UH mm_UH why_RRQ I_PPIS1	was_VBDZ sitting_VVG	in_II the_AT back_NN1 I_PPIS1 do_VD0 n't_XX know_VVI mm_UH but_CCB they_PPHS2 were_VBDR just_RR sort_RR21 of_RR22 like_RR there_EX 's_VBZ probably_RR a_AT1 couple_NN1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=2	287398	287399
4	S2PY	TV any more no no no and even on Iplayer when I sort of yeah sometimes in the evening I	'm sitting	there and think oh I 'm bored I 'll s- see if there 's anything there 's nothing that I	TV_NN1 any_DD more_DAR no_UH no_UH no_UH and_CC even_RR on_II Iplayer_NP1 when_CS I_PPIS1 sort_RR21 of_RR22 yeah_UH sometimes_RT in_II the_AT evening_NNT1 I_PPIS1	'm_VBM sitting_VVG	there_RL and_CC think_VV0 oh_UH I_PPIS1 'm_VBM bored_JJ I_PPIS1 'll_VM s-_FU see_VVI if_CSW there_EX 's_VBZ anything_PN1 there_EX 's_VBZ nothing_PN1 that_CST I_PPIS1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=3	294755	294756
5	S2T6	they ? no mm no they but I can remember when erm --ANONnameF 's cousin came last year and they	were sitting	it was summer then and we ha- we had we were sitting outside and had a meal in the garden	they_PPHS2 ?_YQUE no_UH mm_UH no_UH they_PPHS2 but_CCB I_PPIS1 can_VM remember_VVI when_RRQ erm_UH --ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2	were_VBDR sitting_VVG	it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2 were_VBDR sitting_VVG outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=4	317773	317774
6	S2T6	--ANONnameF 's cousin came last year and they were sitting it was summer then and we ha- we had we	were sitting	outside and had a meal in the garden and er they had a little girl who was three I should	--ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2 were_VBDR sitting_VVG it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2	were_VBDR sitting_VVG	outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1 and_CC er_UH they_PPHS2 had_VHD a_AT1 little_JJ girl_NN1 who_PNQS was_VBDZ three_MC I_PPIS1 should_VM		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=5	317785	317786
7	S2T6	stuff for your breakfast down in the bar right ? yeah and so you 'd get up and you 'd	be sitting	in the bar and there 'd be a kettle there and a bowl of cornflakes yeah or something and a	stuff_NN1 for_IF your_APPGE breakfast_NN1 down_RP in_II the_AT bar_NN1 right_RR ?_YQUE yeah_UH and_CC so_CS you_PPY 'd_VM get_VVI up_RP and_CC you_PPY 'd_VM	be_VBI sitting_VVG	in_II the_AT bar_NN1 and_CC there_EX 'd_VM be_VBI a_AT1 kettle_NN1 there_RL and_CC a_AT1 bowl_NN1 of_IO cornflakes_NN2 yeah_UH or_CC something_PN1 and_CC a_AT1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=6	321896	321897
8	S2T6	something and a toaster yeah you know right like all all you know it was plenty good enough and you	were sitting	there yeah and that 's how bloody trusting they are yeah cos you 've got a bar full of full	something_PN1 and_CC a_AT1 toaster_NN1 yeah_UH you_PPY know_VV0 right_RR like_RR all_DB all_DB you_PPY know_VV0 it_PPH1 was_VBDZ plenty_RR good_JJ enough_RR and_CC you_PPY	were_VBDR sitting_VVG	there_RL yeah_UH and_CC that_DD1 's_VBZ how_RRQ bloody_RR trusting_VVG they_PPHS2 are_VBR yeah_UH cos_CS you_PPY 've_VH0 got_VVN a_AT1 bar_NN1 full_JJ of_IO full_JJ		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=7	321935	321936
9	S346	there you go this is it some shoes I 've got at home I 've got them bloody new shoes	are sitting	there for you I 've got sixes which fit me fine and I 've got fives that fit me fine	there_RL you_PPY go_VV0 this_DD1 is_VBZ it_PPH1 some_DD shoes_NN2 I_PPIS1 've_VH0 got_VVN at_II home_NN1 I_PPIS1 've_VH0 got_VVN them_PPHO2 bloody_RR new_JJ shoes_NN2	are_VBR sitting_VVG	there_RL for_IF you_PPY I_PPIS1 've_VH0 got_VVN sixes_MC2 which_DDQ fit_VV0 me_PPIO1 fine_JJ and_CC I_PPIS1 've_VH0 got_VVN fives_MC2 that_CST fit_VV0 me_PPIO1 fine_JJ	Chatting with close friend while online shopping.	Discussing, explaining, inquiring, advising, requesting, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0255 S0319	2	2014-10-01	0:56:08	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Women’s clothes/shoes/boots sizing and styles, wearing glasses, spam phone calls, perfume, Internet problems, recent night out, Decoupage, online shopping. 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=8	481178	481179
10	S37E	well it was n't thankfully but you know the smoking no but it was it was terrible yeah and you	were sitting	there eating your breakfast thinking yeah you 've only ever been in the --ANONplace but it was well it was	well_RR it_PPH1 was_VBDZ n't_XX thankfully_RR but_CCB you_PPY know_VV0 the_AT smoking_NN1 no_UH but_CCB it_PPH1 was_VBDZ it_PPH1 was_VBDZ terrible_JJ yeah_UH and_CC you_PPY	were_VBDR sitting_VVG	there_RL eating_VVG your_APPGE breakfast_NN1 thinking_NN1 yeah_UH you_PPY 've_VH0 only_RR ever_RR been_VBN in_II the_AT --ANONplace_NP1 but_CCB it_PPH1 was_VBDZ well_JJ it_PPH1 was_VBDZ	Family catch-up on the way to the train station 	Discussing, explaining, inquiring, complaining, advising, inviting, announcing,  anecdote telling, making arrangements	Revised	Texts within Sample release	S0439 S0440 S0481	3	2015-09-12	0:20:53	car	2015 Q3	2015	Close family, partners, very close friends	Local area, organizing plans to London, history, housing, money, pubs, holidays. 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=9	546639	546640
