Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S376	or whatever there 's there 's an odd feeling about it like it 's just unlimited like I could just	be sat	here all day whereas yeah I do n't feel like that with TV yeah it 's too much it 's	or_CC whatever_DDQV there_EX 's_VBZ there_EX 's_VBZ an_AT1 odd_JJ feeling_NN1 about_II it_PPH1 like_II it_PPH1 's_VBZ just_RR unlimited_JJ like_RR I_PPIS1 could_VM just_RR	be_VBI sat_VVN	here_RL all_DB day_NNT1 whereas_CS yeah_UH I_PPIS1 do_VD0 n't_XX feel_VVI like_II that_DD1 with_IW TV_NN1 yeah_UH it_PPH1 's_VBZ too_RG much_DA1 it_PPH1 's_VBZ	Friends talking about their current and future situations	Discussing, explaining, complaining, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:33:46	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=0	539000	539001
2	S376	yeah aye yeah I do it if I 'm staying there for a while yeah I did it earlier I	was sat	in that room in --ANONplace just with no shoes on I ca n't my feet stink and my shoes stink	yeah_UH aye_UH yeah_UH I_PPIS1 do_VD0 it_PPH1 if_CS I_PPIS1 'm_VBM staying_VVG there_RL for_IF a_AT1 while_NNT1 yeah_UH I_PPIS1 did_VDD it_PPH1 earlier_RRR I_PPIS1	was_VBDZ sat_VVN	in_II that_DD1 room_NN1 in_II --ANONplace_NP1 just_RR with_IW no_AT shoes_NN2 on_II I_PPIS1 ca_VM n't_XX my_APPGE feet_NN2 stink_VVI and_CC my_APPGE shoes_NN2 stink_VV0	Friends talking about their current and future situations	Discussing, explaining, complaining, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:33:46	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=1	541131	541132
3	S7QY	actually see erm a group of people er er on your the end of the line and see if they	are sitting	on the opposite side of the table and they can see you but are they really on the opposite side	actually_RR see_VVI erm_UH a_AT1 group_NN1 of_IO people_NN er_UH er_UH on_II your_APPGE the_AT end_NN1 of_IO the_AT line_NN1 and_CC see_VV0 if_CS they_PPHS2	are_VBR sitting_VVG	on_II the_AT opposite_JJ side_NN1 of_IO the_AT table_NN1 and_CC they_PPHS2 can_VM see_VVI you_PPY but_CCB are_VBR they_PPHS2 really_RR on_II the_AT opposite_JJ side_NN1	New technology	Discussing, explaining, inquiring, complaining, making arrangements	Revised	Texts within Sample release	S0264 S0265	2	2014-08-12	0:40:28	Dinner at participants' home	2014 Q3	2014	Close family, partners, very close friends	Work, new technology	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=2	2463761	2463762
4	S968	my god that was nearly on me do you want me to ? do you want me to ? I	'm sitting	with you now do n't come near me I 'm just as scared that were fricking huge what 's what	my_APPGE god_NN1 that_CST was_VBDZ nearly_RR on_II me_PPIO1 do_VD0 you_PPY want_VVI me_PPIO1 to_TO ?_YQUE do_VD0 you_PPY want_VVI me_PPIO1 to_TO ?_YQUE I_PPIS1	'm_VBM sitting_VVG	with_IW you_PPY now_RT do_VD0 n't_XX come_VVI near_II me_PPIO1 I_PPIS1 'm_VBM just_RR as_RG scared_JJ that_CST were_VBDR fricking_VVG huge_JJ what_DDQ 's_VBZ what_DDQ	Family members playing a game	discussing, explaining, inquiring, advising, requesting, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0492 S0493 S0494 S0495 S0496 S0497	6	2015-06-23	2:07:38	Terrace, Alzira, Spain	2015 Q2	2015	Close family, partners, very close friends	Rules of the game, sport, television, family stories	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=3	3063267	3063268
5	SAR5	's so haunted I remember you telling me about all those doors slamming oh at --ANONnameN 's do well we	were sat	in the living room yeah and we were both sat watching TV and I was painting my nails just pause	's_VBZ so_RG haunted_JJ I_PPIS1 remember_VV0 you_PPY telling_VVG me_PPIO1 about_II all_DB those_DD2 doors_NN2 slamming_VVG oh_UH at_II --ANONnameN_NP1 's_VBZ do_VD0 well_RR we_PPIS2	were_VBDR sat_VVN	in_II the_AT living_NN1 room_NN1 yeah_UH and_CC we_PPIS2 were_VBDR both_DB2 sat_VVD watching_VVG TV_NN1 and_CC I_PPIS1 was_VBDZ painting_VVG my_APPGE nails_NN2 just_RR pause_VV0	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising	Revised	Texts within Sample release	S0202 S0204 S0205 S0206 S0207	5	2014-08-21	1:15:32	Chester	2014 Q3	2014	Close family, partners, very close friends	Tinder, boys, housemates, uni	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=4	3576698	3576699
6	SAR5	do n't matter he is a bit weird what a freak he is right okay whatever and then we 'd	be stood	having drinks and he 'd like try and make a joke and it 'd just be like not funny not	do_VD0 n't_XX matter_VVI he_PPHS1 is_VBZ a_RR21 bit_RR22 weird_JJ what_DDQ a_AT1 freak_NN1 he_PPHS1 is_VBZ right_RR okay_JJ whatever_DDQV and_CC then_RT we_PPIS2 'd_VM	be_VBI stood_VVN	having_VHG drinks_NN2 and_CC he_PPHS1 'd_VM like_VVI try_VV0 and_CC make_VV0 a_AT1 joke_NN1 and_CC it_PPH1 'd_VM just_RR be_VBI like_RR not_XX funny_JJ not_XX	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising	Revised	Texts within Sample release	S0202 S0204 S0205 S0206 S0207	5	2014-08-21	1:15:32	Chester	2014 Q3	2014	Close family, partners, very close friends	Tinder, boys, housemates, uni	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=5	3586246	3586247
7	SAR5	's what I meant oh oh we need to put this on cos this is the good bit like I	'm sat	right in front of TV in the living room you 'll love this bit we 've already seen it I	's_VBZ what_DDQ I_PPIS1 meant_VVD oh_UH oh_UH we_PPIS2 need_VV0 to_TO put_VVI this_DD1 on_RP cos_CS this_DD1 is_VBZ the_AT good_JJ bit_NN1 like_II I_PPIS1	'm_VBM sat_VVN	right_RR in_II31 front_II32 of_II33 TV_NN1 in_II the_AT living_NN1 room_NN1 you_PPY 'll_VM love_VVI this_DD1 bit_NN1 we_PPIS2 've_VH0 already_RR seen_VVN it_PPH1 I_PPIS1	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising	Revised	Texts within Sample release	S0202 S0204 S0205 S0206 S0207	5	2014-08-21	1:15:32	Chester	2014 Q3	2014	Close family, partners, very close friends	Tinder, boys, housemates, uni	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=6	3592726	3592727
8	SHXX	erm even though it 's now a completely different team to what it was when they left erm and they	were sat	in the car after the game and I was like yeah he was like what do you think of that	erm_UH even_CS21 though_CS22 it_PPH1 's_VBZ now_RT a_AT1 completely_RR different_JJ team_NN1 to_II what_DDQ it_PPH1 was_VBDZ when_CS they_PPHS2 left_VVD erm_UH and_CC they_PPHS2	were_VBDR sat_VVN	in_II the_AT car_NN1 after_II the_AT game_NN1 and_CC I_PPIS1 was_VBDZ like_RR yeah_UH he_PPHS1 was_VBDZ like_RR what_DDQ do_VD0 you_PPY think_VVI of_IO that_CST		Discussing, explaining 	Revised	Texts within Sample release	S0187 S0386	2	2015-01-31	0:47:40	Home  	2015 Q1	2015	Close family, partners, very close friends	Recent transactions, Sport, Experiences, Celebrities, Work, Other family members	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=7	5972483	5972484
9	SK8T	she was like oh I 'm I 'm I never got round to doing it bearing in mind she 's	been sat	in all day yeah doing fuck all she says that she 's a clean freak she sat down on on	she_PPHS1 was_VBDZ like_RR oh_UH I_PPIS1 'm_VBM I_PPIS1 'm_VBM I_PPIS1 never_RR got_VVN round_RP to_II doing_VDG it_PPH1 bearing_VVG in_II mind_NN1 she_PPHS1 's_VHZ	been_VBN sat_VVN	in_II all_DB day_NNT1 yeah_UH doing_VDG fuck_NN1 all_DB she_PPHS1 says_VVZ that_CST she_PPHS1 's_VBZ a_AT1 clean_JJ freak_NN1 she_PPHS1 sat_VVD down_RP on_II on_II	Friends chatting about general stuff	Discussing, explaining, complaining, advising, announcing, anecdote telling	Revised	Texts not in Sample release	S0202 S0204 S0205 S0206	4	2014-08-21	0:34:38	Chesterfield	2014 Q3	2014	Close family, partners, very close friends	Boys, holidays, boyfriends, nights out	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=8	6458052	6458053
10	SLPW	just like this is finished like he was like do you reckon this is this is still good it 's	been sat	out here for a while ? I was like people leave butter out in like little containers out of the	just_RR like_II this_DD1 is_VBZ finished_VVN like_RR he_PPHS1 was_VBDZ like_RR do_VD0 you_PPY reckon_VVI this_DD1 is_VBZ this_DD1 is_VBZ still_RR good_JJ it_PPH1 's_VHZ	been_VBN sat_VVN	out_RP here_RL for_IF a_AT1 while_NNT1 ?_YQUE I_PPIS1 was_VBDZ like_II people_NN leave_VV0 butter_NN1 out_RP in_II like_RR little_JJ containers_NN2 out_II21 of_II22 the_AT		Discussing, explaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:18:09	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university, TV.	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062of&batch=9	6965612	6965613
