Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S2U9	their coffee you know with they 've got their own pub though so I do n't know --UNCLEARWORD and they	're sitting	there they 're in between lessons yeah and they 're getting out these phones and really ? er Ipads you	their_APPGE coffee_NN1 you_PPY know_VV0 with_IW they_PPHS2 've_VH0 got_VVN their_APPGE own_DA pub_NN1 though_RR so_RR I_PPIS1 do_VD0 n't_XX know_VVI --UNCLEARWORD_FU and_CC they_PPHS2	're_VBR sitting_VVG	there_RL they_PPHS2 're_VBR in_II21 between_II22 lessons_NN2 yeah_UH and_CC they_PPHS2 're_VBR getting_VVG out_RP these_DD2 phones_NN2 and_CC really_RR ?_YQUE er_UH Ipads_NP2 you_PPY	Post-meal chat	Discussing, explaining, inquiring, complaining, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0391 S0392 S0393 S0397 S0480 S0545	6	2015-12-29	0:18:01	ANON’s home	2015 Q4	2015	Friends, wider family circle	family history, languages, literature, theatre, art, music, places, people, reminiscing, cutlery, food and drink, religion, hair and beauty, weather, climate change, transport, technology, injury, museums, 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=0	340197	340198
2	S37K	do eh at some point ? yes mm North --UNCLEARWORD in a field full of --UNCLEARWORD You 're going to	be sitting	--UNCLEARWORD ? no oh pass it you might have to supply the --UNCLEARWORD I know Motts do n't do n't	do_VD0 eh_UH at_II some_DD point_NN1 ?_YQUE yes_UH mm_UH North_ND1 --UNCLEARWORD_FU in_II a_AT1 field_NN1 full_JJ of_IO --UNCLEARWORD_FU You_PPY 're_VBR going_VVGK to_TO	be_VBI sitting_VVG	--UNCLEARWORD_FU ?_YQUE no_UH oh_UH pass_VV0 it_PPH1 you_PPY might_VM have_VHI to_TO supply_VVI the_AT --UNCLEARWORD_FU I_PPIS1 know_VV0 Motts_NP2 do_VD0 n't_XX do_VD0 n't_XX		Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements, telling jokes	Original	Texts within Sample release	S0058 S0120 S0179	3	2012-03-11	1:26:37	ANON and ANON’s home, Cambridge	2012 Q1	2012	Friends, wider family circle	Holidays, TV, food	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=1	553418	553419
3	S3U3	sit down for the gospel ? yeah I 'm going to actually I think this time but --ANONnameM wo n't	be standing	I mean mm yeah it 's I think it 's also religiosity when people are sort of just standing there	sit_VVI down_RP for_IF the_AT gospel_NN1 ?_YQUE yeah_UH I_PPIS1 'm_VBM going_VVG to_TO actually_RR I_PPIS1 think_VV0 this_DD1 time_NNT1 but_CCB --ANONnameM_NP1 wo_VM n't_XX	be_VBI standing_VVG	I_PPIS1 mean_VV0 mm_UH yeah_UH it_PPH1 's_VBZ I_PPIS1 think_VV0 it_PPH1 's_VBZ also_RR religiosity_NN1 when_CS people_NN are_VBR sort_RR21 of_RR22 just_RR standing_VVG there_RL	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=2	864381	864382
4	S3U3	minutes late for him hardly any length of time and he was n't the last to be collected and he	's standing	there we had about three or four children left and er he was just waiting with them nothing special and	minutes_NNT2 late_JJ for_IF him_PPHO1 hardly_RR any_DD length_NN1 of_IO time_NNT1 and_CC he_PPHS1 was_VBDZ n't_XX the_AT last_MD to_TO be_VBI collected_VVN and_CC he_PPHS1	's_VBZ standing_VVG	there_RL we_PPIS2 had_VHD about_RG three_MC or_CC four_MC children_NN2 left_VVN and_CC er_UH he_PPHS1 was_VBDZ just_RR waiting_VVG with_IW them_PPHO2 nothing_PN1 special_JJ and_CC	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=3	872132	872133
5	S632	then I I nearly cried cos I laughed some pathetic waste of a life you are sometimes wow well she	's sitting	there going oh my god I 'm too --UNCLEARWORD can we open a window ? tears streaming down --ANONnameF --UNCLEARWORD	then_RT I_PPIS1 I_PPIS1 nearly_RR cried_VVD cos_CS I_PPIS1 laughed_VVD some_DD pathetic_JJ waste_NN1 of_IO a_AT1 life_NN1 you_PPY are_VBR sometimes_RT wow_UH well_RR she_PPHS1	's_VBZ sitting_VVG	there_RL going_VVG oh_UH my_APPGE god_NN1 I_PPIS1 'm_VBM too_RG --UNCLEARWORD_FU can_VM we_PPIS2 open_VVI a_AT1 window_NN1 ?_YQUE tears_NN2 streaming_VVG down_RP --ANONnameF_NP1 --UNCLEARWORD_FU	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0202 S0208 S0211 S0216 S0218 S0220 S0221 S0222	8	2014-10-04	5:48:22	Home, Leeds	2014 Q4	2014	Close family, partners, very close friends	Work, money, drinking, Articulate, lending money, nights out, penis enlargements, Geordie Shore, student finance, student load, hamsters, dogs, tv, films, PGCE, websites, politics, feminism, CVs, guinea pigs, smells, Snapchat, Facebook	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=4	1597135	1597136
6	S632	? What ? we 're talking about whether there 's a comma it 's it 's a Saturday night we	're sitting	in playing board games we 're talking about whether there 's a comma in a sentence of a song okay	?_YQUE What_DDQ ?_YQUE we_PPIS2 're_VBR talking_VVG about_II whether_CSW there_EX 's_VBZ a_AT1 comma_NN1 it_PPH1 's_VBZ it_PPH1 's_VBZ a_AT1 Saturday_NPD1 night_NNT1 we_PPIS2	're_VBR sitting_VVG	in_II playing_VVG board_NN1 games_NN2 we_PPIS2 're_VBR talking_VVG about_II whether_CSW there_EX 's_VBZ a_AT1 comma_NN1 in_II a_AT1 sentence_NN1 of_IO a_AT1 song_NN1 okay_RR	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0202 S0208 S0211 S0216 S0218 S0220 S0221 S0222	8	2014-10-04	5:48:22	Home, Leeds	2014 Q4	2014	Close family, partners, very close friends	Work, money, drinking, Articulate, lending money, nights out, penis enlargements, Geordie Shore, student finance, student load, hamsters, dogs, tv, films, PGCE, websites, politics, feminism, CVs, guinea pigs, smells, Snapchat, Facebook	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=5	1599729	1599730
7	S67P	mm having cherry pie for later if you want some mm now if it was spaniel a spaniel would not	be sitting	on the table sitting on the well I know but if it was that was very nice or a Labrador	mm_UH having_VHG cherry_NN1 pie_NN1 for_IF later_JJR if_CS you_PPY want_VV0 some_DD mm_UH now_RT if_CS it_PPH1 was_VBDZ spaniel_NN1 a_AT1 spaniel_NN1 would_VM not_XX	be_VBI sitting_VVG	on_II the_AT table_NN1 sitting_VVG on_II the_AT well_NN1 I_PPIS1 know_VV0 but_CCB if_CS it_PPH1 was_VBDZ that_DD1 was_VBDZ very_RG nice_JJ or_CC a_AT1 Labrador_NN1	Dinner at mum and dads	Discussing, explaining, inquiring, complaining, advising, requesting, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0336 S0337 S0338 S0339	4	2015-11-30	0:15:44	Speakers' home	2015 Q4	2015	Close family, partners, very close friends	Food, work, family	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=6	1717272	1717273
8	S8J6	been like and it was just sort of swooping over was it ? it 'd no it was so it	was sitting	on the roof like on the second floor there 's like a veranda There 's a lot of dodgy there	been_VBN like_II and_CC it_PPH1 was_VBDZ just_RR sort_RR21 of_RR22 swooping_VVG over_RP was_VBDZ it_PPH1 ?_YQUE it_PPH1 'd_VHD no_UH it_PPH1 was_VBDZ so_RR it_PPH1	was_VBDZ sitting_VVG	on_II the_AT roof_NN1 like_II on_II the_AT second_MD floor_NN1 there_EX 's_VBZ like_II a_AT1 veranda_NN1 There_EX 's_VBZ a_AT1 lot_NN1 of_IO dodgy_JJ there_EX		Discussing, explaining, anecdote telling	Original	Texts within Sample release	S0037 S0115	2	2012-02-01	0:45:18	ANON and ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends	Cooking, football, going out, plants, work, films, Room 101, electronics, skincare, modern medicine	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=7	2781600	2781601
9	SAT9	if you 're going to get on yeah exactly no he was er and presumably there was he his wife	was standing	behind so she 'd obviously stopped and got out well but she obviously had had to get out yeah exactly	if_CS you_PPY 're_VBR going_VVGK to_TO get_VVI on_RP yeah_UH exactly_RR no_UH he_PPHS1 was_VBDZ er_UH and_CC presumably_RR there_EX was_VBDZ he_PPHS1 his_APPGE wife_NN1	was_VBDZ standing_VVG	behind_II so_RR she_PPHS1 'd_VHD obviously_RR stopped_VVN and_CC got_VVD out_RP well_RR but_CCB she_PPHS1 obviously_RR had_VHD had_VHD to_TO get_VVI out_RP yeah_UH exactly_RR		Discussing, explaining, inquiring, requesting, making arrangements	Original	Texts within Sample release	S0058 S0179	2	2012-03-31	0:25:15	ANON's car	2012 Q1	2012	Close family, partners, very close friends	Arrangements for the day, exercise, internet, family relationships	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=8	3615190	3615191
10	SAT9	good things mm well it will be a nice opportunity to use that mm --UNCLEARWORD will be fine you 'll	be sitting	down yeah I know I mean two weeks is n't too bad but I 'm not the nurse did seem	good_JJ things_NN2 mm_UH well_RR it_PPH1 will_VM be_VBI a_AT1 nice_JJ opportunity_NN1 to_TO use_VVI that_DD1 mm_UH --UNCLEARWORD_FU will_VM be_VBI fine_JJ you_PPY 'll_VM	be_VBI sitting_VVG	down_RP yeah_UH I_PPIS1 know_VV0 I_PPIS1 mean_VV0 two_MC weeks_NNT2 is_VBZ n't_XX too_RG bad_JJ but_CCB I_PPIS1 'm_VBM not_XX the_AT nurse_NN1 did_VDD seem_VVI		Discussing, explaining, inquiring, requesting, making arrangements	Original	Texts within Sample release	S0058 S0179	2	2012-03-31	0:25:15	ANON's car	2012 Q1	2012	Close family, partners, very close friends	Arrangements for the day, exercise, internet, family relationships	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=9	3615678	3615679
