Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S38V	n't my brov not phoned me today it was really strange maybe they want you give them a call he	's sitting	at home sulking why cos you 're out there ? yeah no not cos I 'm out there just cos	n't_XX my_APPGE brov_NN1 not_XX phoned_VVN me_PPIO1 today_RT it_PPH1 was_VBDZ really_RR strange_JJ maybe_RR they_PPHS2 want_VV0 you_PPY give_VV0 them_PPHO2 a_AT1 call_NN1 he_PPHS1	's_VBZ sitting_VVG	at_II home_NN1 sulking_VVG why_RRQ cos_CS you_PPY 're_VBR out_RP there_RL ?_YQUE yeah_UH no_UH not_XX cos_CS I_PPIS1 'm_VBM out_RP there_RL just_RR cos_CS	First day in the new apartment	Discussing, inquiring, complaining, advising, requesting, announcing, making arrangements	Revised	Texts not in Sample release	S0192 S0198	2	2014-08-28	2:00:48	In my new flat, Sussex	2014 Q3	2014	Close family, partners, very close friends	Smoking cigarettes, moving apartments, future plans, university, family, inventory, music, extended family, marriage, living in South Korea, friends, ELT methodology, language, cooking, alcohol, making arrangements, driving, travelling.  	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=0	634021	634022
2	S38V	should n't we ? yeah yeah just need to do another minute and it 's all good those two have	been sitting	there as well yeah we do n't wan na get in the habit of smoking cigarettes yeah I 'm gon	should_VM n't_XX we_PPIS2 ?_YQUE yeah_UH yeah_UH just_RR need_VV0 to_TO do_VDI another_DD1 minute_NNT1 and_CC it_PPH1 's_VBZ all_DB good_JJ those_DD2 two_MC have_VH0	been_VBN sitting_VVG	there_RL as_RR21 well_RR22 yeah_UH we_PPIS2 do_VD0 n't_XX wan_VV0 na_TO get_VVI in_II the_AT habit_NN1 of_IO smoking_JJ cigarettes_NN2 yeah_UH I_PPIS1 'm_VBM gon_VVGK	First day in the new apartment	Discussing, inquiring, complaining, advising, requesting, announcing, making arrangements	Revised	Texts not in Sample release	S0192 S0198	2	2014-08-28	2:00:48	In my new flat, Sussex	2014 Q3	2014	Close family, partners, very close friends	Smoking cigarettes, moving apartments, future plans, university, family, inventory, music, extended family, marriage, living in South Korea, friends, ELT methodology, language, cooking, alcohol, making arrangements, driving, travelling.  	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=1	638624	638625
3	S4KW	go between houses you have time to you know take a break for ten minutes or something at least you	're sat	down yeah yeah so I do n't see I just the only thing it might be is getting time off	go_VV0 between_II houses_NN2 you_PPY have_VH0 time_NNT1 to_II you_PPY know_VV0 take_VV0 a_AT1 break_NN1 for_IF ten_MC minutes_NNT2 or_CC something_PN1 at_RR21 least_RR22 you_PPY	're_VBR sat_VVN	down_RP yeah_UH yeah_UH so_RR I_PPIS1 do_VD0 n't_XX see_VVI I_PPIS1 just_RR the_AT only_JJ thing_NN1 it_PPH1 might_VM be_VBI is_VBZ getting_VVG time_NNT1 off_RP	Family members talking whilst driving	Discussing, explaining, inquiring, complaining, anecdote telling, making arrangement 	Revised	Texts not in Sample release	S0198 S0229 S0230	3	2014-08-29	0:45:23	In car to Dorset	2014 Q3	2014	Close family, partners, very close friends	Dangerous driving, building, bad towns to live, days off work, paying solicitors, MOT’S, health, eating, English, making phone calls, work, using phones, academic studies, Windows 8, Mantiques, using Sat Nav, family history, holiday traffic, raining, furniture.	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=2	1045809	1045810
4	S55M	and now onto this and then you turn back and you 're like er --UNCLEARWORD and it 's when you	're sitting	in the audience and your like --UNCLEARWORD next slide slide change the slide for --UNCLEARWORD probability we had to do	and_CC now_RT onto_II this_DD1 and_CC then_RT you_PPY turn_VV0 back_RP and_CC you_PPY 're_VBR like_RR er_UH --UNCLEARWORD_FU and_CC it_PPH1 's_VBZ when_RRQ you_PPY	're_VBR sitting_VVG	in_II the_AT audience_NN1 and_CC your_APPGE like_JJ --UNCLEARWORD_FU next_MD slide_NN1 slide_NN1 change_VV0 the_AT slide_NN1 for_IF --UNCLEARWORD_FU probability_NN1 we_PPIS2 had_VHD to_TO do_VDI	Friends gathering for Christmas talking about university and general life. 	Discussing, explaining, Inquiring, complaining, advising, telling jokes	Revised	Texts not in Sample release	S0592 S0596 S0597 S0598 S0599	5	2015-12-18	2:00:00	ANON’s house, Surrey	2015 Q4	2015	Friends, wider family circle	University, work, Christmas, friends, family, food, children, dating. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=3	1266219	1266220
5	S55M	an hour with breaks yeah but I watched them online so there 's no breaks yeah hello he 's he	's standing	right in front of you not even looking at you yeah he 's like staring straight --UNCLEARWORD --ANONnameM cats do	an_AT1 hour_NNT1 with_IW breaks_NN2 yeah_UH but_CCB I_PPIS1 watched_VVD them_PPHO2 online_RR so_RR there_EX 's_VBZ no_AT breaks_NN2 yeah_UH hello_UH he_PPHS1 's_VBZ he_PPHS1	's_VBZ standing_VVG	right_RR in_II31 front_II32 of_II33 you_PPY not_XX even_RR looking_VVG at_II you_PPY yeah_UH he_PPHS1 's_VBZ like_RR staring_VVG straight_RR --UNCLEARWORD_FU --ANONnameM_NP1 cats_NN2 do_VD0	Friends gathering for Christmas talking about university and general life. 	Discussing, explaining, Inquiring, complaining, advising, telling jokes	Revised	Texts not in Sample release	S0592 S0596 S0597 S0598 S0599	5	2015-12-18	2:00:00	ANON’s house, Surrey	2015 Q4	2015	Friends, wider family circle	University, work, Christmas, friends, family, food, children, dating. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=4	1269565	1269566
6	S5B6	you 've got to teach students of all abilities yeah and I remember at English masters every year we 'd	be sat	in kind of rows and erm each row was of a certain ability and you you 're all set different	you_PPY 've_VH0 got_VVN to_TO teach_VVI students_NN2 of_IO all_DB abilities_NN2 yeah_UH and_CC I_PPIS1 remember_VV0 at_II English_JJ masters_NN2 every_AT1 year_NNT1 we_PPIS2 'd_VM	be_VBI sat_VVN	in_II kind_NN1 of_IO rows_NN2 and_CC erm_UH each_DD1 row_NN1 was_VBDZ of_IO a_AT1 certain_JJ ability_NN1 and_CC you_PPY you_PPY 're_VBR all_DB set_VVN different_JJ	Talking about raising children	Discussing, explaining, complaining, advising, requesting, anecdote telling	Revised	Texts not in Sample release	S0198 S0230 S0232	3	2014-09-10	0:30:50	Familyhome, Kent	2014 Q3	2014	Close family, partners, very close friends	Parenting, Korean approach to parenting, school systems, buying gifts for children, Facebay, furnishing houses, trains, school trips, cooking, work shifts.	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=5	1333021	1333022
7	S5QR	bad my posture is when I 'm sitting there in science like on the table and --ANONnameF 's like you	're sitting	on the table ? yeah like when cos in physics basically he makes like every lesson going around and I	bad_JJ my_APPGE posture_NN1 is_VBZ when_RRQ I_PPIS1 'm_VBM sitting_VVG there_RL in_II science_NN1 like_II on_II the_AT table_NN1 and_CC --ANONnameF_NP1 's_VBZ like_RR you_PPY	're_VBR sitting_VVG	on_II the_AT table_NN1 ?_YQUE yeah_UH like_RR when_CS cos_CS in_II physics_NN1 basically_RR he_PPHS1 makes_VVZ like_II every_AT1 lesson_NN1 going_VVG around_RP and_CC I_PPIS1	Friends talking about school 	discussing, explaining, inquiring, complaining, requesting, announcing, anecdote telling	Revised	Texts not in Sample release	S0324 S0325	2	2016-01-18	0:32:00	ANONs house	2016 Q1	2016	Close family, partners, very close friends	A film we just watched (10 things I hate about you), School, future trip to London	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=6	1464756	1464757
8	S6HP	I have n't got very many friends but the friends I have got yeah I was thinking if they 'd	been sitting	in that sitting room as I had or sitting in that restaurant in --ANONplace as I had yeah I think	I_PPIS1 have_VH0 n't_XX got_VVN very_RG many_DA2 friends_NN2 but_CCB the_AT friends_NN2 I_PPIS1 have_VH0 got_VVN yeah_UH I_PPIS1 was_VBDZ thinking_VVG if_CS they_PPHS2 'd_VHD	been_VBN sitting_VVG	in_II that_DD1 sitting_NN1 room_NN1 as_CSA I_PPIS1 had_VHD or_CC sitting_VVG in_II that_DD1 restaurant_NN1 in_II --ANONplace_NP1 as_CSA I_PPIS1 had_VHD yeah_UH I_PPIS1 think_VV0	Two very close friends discussing their family members and their lives.	Discussing, explaining, inquiring, complaining, anecdote telling, telling jokes	Revised	Texts within Sample release	S0262 S0303	2	2014-10-23	1:51:00	At ANON’s home in Brixton, London.	2014 Q4	2014	Close family, partners, very close friends	Family members and their lives.  Telling a story involving family members.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=7	1855754	1855755
9	S6HP	know that at the time when I applied no when I applied I thought oh I 'm gon na yeah	be sitting	with people talking about Wittgenstein all day and it 's gon na be amazing all we 're gon na do	know_VVI that_CST at_II the_AT time_NNT1 when_RRQ I_PPIS1 applied_VVD no_UH when_CS I_PPIS1 applied_VVD I_PPIS1 thought_VVD oh_UH I_PPIS1 'm_VBM gon_VVGK na_TO yeah_UH	be_VB0 sitting_VVG	with_IW people_NN talking_VVG about_II Wittgenstein_NP1 all_DB day_NNT1 and_CC it_PPH1 's_VBZ gon_VVGK na_TO be_VBI amazing_JJ all_DB we_PPIS2 're_VBR gon_VVGK na_TO do_VDI	Two very close friends discussing their family members and their lives.	Discussing, explaining, inquiring, complaining, anecdote telling, telling jokes	Revised	Texts within Sample release	S0262 S0303	2	2014-10-23	1:51:00	At ANON’s home in Brixton, London.	2014 Q4	2014	Close family, partners, very close friends	Family members and their lives.  Telling a story involving family members.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=8	1863459	1863460
10	S6Q6	I 'm working on at the moment and they gave us five folders full of receipts most of which have	been stood	on stood on ? yeah he 's like he 's like a mechanic and all his receipts have like footprints	I_PPIS1 'm_VBM working_VVG on_RP at_II the_AT moment_NN1 and_CC they_PPHS2 gave_VVD us_PPIO2 five_MC folders_NN2 full_JJ of_IO receipts_NN2 most_RRT of_IO which_DDQ have_VH0	been_VBN stood_VVN	on_RP stood_VVD on_RP ?_YQUE yeah_UH he_PPHS1 's_VBZ like_II he_PPHS1 's_VBZ like_II a_AT1 mechanic_NN1 and_CC all_DB his_APPGE receipts_NN2 have_VH0 like_RR footprints_VVZ	Friends gathering for Christmas talking about university and general life. 	Discussing, explaining, inquiring, complaining, advising, telling jokes	Revised	Texts not in Sample release	S0592 S0595 S0596 S0597 S0598	5	2015-12-18	2:00:00	ANON’s house, Surrey	2015 Q4	2015	Friends, wider family circle	TV series, university, work, apprenticeships, illness, Christmas, presents, friends, family.  	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=9	1944081	1944082
