Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S23A	really so and then mm kinda I could be so mean in that situation so I could move you could	be sitting	there and just chuckling every now --UNCLEARWORD make them really paranoid yeah at u- one of the obstacle races that	really_RR so_RR and_CC then_RT mm_UH kinda_RR I_PPIS1 could_VM be_VBI so_RG mean_JJ in_II that_DD1 situation_NN1 so_RR I_PPIS1 could_VM move_VVI you_PPY could_VM	be_VBI sitting_VVG	there_RL and_CC just_RR chuckling_VVG every_AT1 now_RT --UNCLEARWORD_FU make_VV0 them_PPHO2 really_RR paranoid_JJ yeah_UH at_II u-_FU one_MC1 of_IO the_AT obstacle_NN1 races_NN2 that_CST	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=0	5410	5411
2	S23A	like as the ti- as the game goes on you take off tiles so the island or oh whatever you	're standing	on gets smaller and smaller oh that 's quite exciting mm and so you 're like yeah it m- it	like_RR as_II the_AT ti-_FU as_II the_AT game_NN1 goes_VVZ on_II you_PPY take_VV0 off_II tiles_NN2 so_RR the_AT island_NN1 or_CC oh_UH whatever_DDQV you_PPY	're_VBR standing_VVG	on_RP gets_VVZ smaller_JJR and_CC smaller_JJR oh_UH that_DD1 's_VBZ quite_RG exciting_JJ mm_UH and_CC so_CS you_PPY 're_VBR like_RR yeah_UH it_PPH1 m-_FU it_PPH1	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=1	12861	12862
3	S23A	the first time they 're sheared time that the sheep has a shearing oh right maybe oh right baby you	are sitting	on a present there huh right have I opened it yet ? no first and there 's another one erm	the_AT first_MD time_NNT1 they_PPHS2 're_VBR sheared_JJ time_NNT1 that_CST the_AT sheep_NN has_VHZ a_AT1 shearing_NN1 oh_UH right_RR maybe_RR oh_UH right_RR baby_NN1 you_PPY	are_VBR sitting_VVG	on_II a_AT1 present_NN1 there_RL huh_UH right_RR have_VH0 I_PPIS1 opened_VVN it_PPH1 yet_RR ?_YQUE no_UH first_MD and_CC there_EX 's_VBZ another_DD1 one_PN1 erm_UH	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=2	17473	17474
4	S43M	? yeah ah I du n no if I cos what I 'll well yeah six yeah even if I	'm sitting	here and he 's sitting there it 's do some studying now probably oh yeah oh --UNCLEARWORD probably gon na	?_YQUE yeah_UH ah_UH I_PPIS1 du_VD0 n_XX no_VVI if_CSW I_PPIS1 cos_CS what_DDQ I_PPIS1 'll_VM well_RR yeah_UH six_MC yeah_UH even_CS21 if_CS22 I_PPIS1	'm_VBM sitting_VVG	here_RL and_CC he_PPHS1 's_VBZ sitting_VVG there_RL it_PPH1 's_VBZ do_VD0 some_DD studying_VVG now_RT probably_RR oh_UH yeah_UH oh_UH --UNCLEARWORD_FU probably_RR gon_VVGK na_TO	Flatmates talking together in the kitchen helping a friend solve a puzzle game	Discussing, advising	Revised	Texts not in Sample release	S0529 S0530 S0531 S0532	4	2015-11-09	0:59:50	Uni accommodation halls kitchen, Lancaster University	2015 Q4	2015	Friends, wider family circle	Helping a flatmate solve a puzzle game, sport, degrees	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=3	915854	915855
5	S43M	n no if I cos what I 'll well yeah six yeah even if I 'm sitting here and he	's sitting	there it 's do some studying now probably oh yeah oh --UNCLEARWORD probably gon na like revise you got more	n_XX no_VVI if_CSW I_PPIS1 cos_CS what_DDQ I_PPIS1 'll_VM well_RR yeah_UH six_MC yeah_UH even_CS21 if_CS22 I_PPIS1 'm_VBM sitting_VVG here_RL and_CC he_PPHS1	's_VBZ sitting_VVG	there_RL it_PPH1 's_VBZ do_VD0 some_DD studying_VVG now_RT probably_RR oh_UH yeah_UH oh_UH --UNCLEARWORD_FU probably_RR gon_VVGK na_TO like_RR revise_VVI you_PPY got_VVD more_DAR	Flatmates talking together in the kitchen helping a friend solve a puzzle game	Discussing, advising	Revised	Texts not in Sample release	S0529 S0530 S0531 S0532	4	2015-11-09	0:59:50	Uni accommodation halls kitchen, Lancaster University	2015 Q4	2015	Friends, wider family circle	Helping a flatmate solve a puzzle game, sport, degrees	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=4	915859	915860
6	S5SC	threes yeah but erm you yeah this and it 's fair enough but you 're you 're actually cos you	're sat	around a table the only thing you need to do is get there early enough to get a table so	threes_MC2 yeah_UH but_CCB erm_UH you_PPY yeah_UH this_DD1 and_CC it_PPH1 's_VBZ fair_RR enough_RR but_CCB you_PPY 're_VBR you_PPY 're_VBR actually_RR cos_CS you_PPY	're_VBR sat_VVN	around_II a_AT1 table_NN1 the_AT only_JJ thing_NN1 you_PPY need_VV0 to_TO do_VDI is_VBZ get_VVI there_RL early_RR enough_RR to_TO get_VVI a_AT1 table_NN1 so_RR	FAMILY PLAYING PANDEMIC	Discussing, explaining, inquiring, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0492 S0493 S0603 S0604 S0605	5	2016-03-22	1:05:40	HOLIDAY COTTAGE, HEREFORD, ENGLAND	2016 Q1	2016	Close family, partners, very close friends	GAME DYNAMIC 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=5	1477654	1477655
7	SGYW	a table next to you they do n't gi- they do n't care who 's there you know they could	be sat	there you know they 're they 're just nothing to them really and that 's kind of good in a	a_AT1 table_NN1 next_II21 to_II22 you_PPY they_PPHS2 do_VD0 n't_XX gi-_FU they_PPHS2 do_VD0 n't_XX care_VVI who_PNQS 's_VBZ there_RL you_PPY know_VV0 they_PPHS2 could_VM	be_VBI sat_VVN	there_RL you_PPY know_VV0 they_PPHS2 're_VBR they_PPHS2 're_VBR just_RR nothing_PN1 to_II them_PPHO2 really_RR and_CC that_DD1 's_VBZ kind_NN1 of_IO good_JJ in_II a_AT1	A Chat with ANON in John Lewis Part 2	Discussing, explaining, inquiring, complaining, requesting, inviting, anecdote telling, making arrangements, telling jokes 	Original	Texts within Sample release	S0070 S0180	2	2012-04-11	0:33:59	John Lewis café, London	2012 Q2	2012	Friends, wider family circle	TV, internet, different cultures, teaching, language learning	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=6	5690694	5690695
8	SHJJ	write hi and you know you told me once before you sort of asked them what you doing ? I	'm sitting	mm you know ? she would so often do things like that you would n't know yeah yeah very much	write_VVI hi_UH and_CC you_PPY know_VV0 you_PPY told_VVD me_PPIO1 once_CS before_CS you_PPY sort_RR21 of_RR22 asked_VVD them_PPHO2 what_DDQ you_PPY doing_VDG ?_YQUE I_PPIS1	'm_VBM sitting_VVG	mm_UH you_PPY know_VV0 ?_YQUE she_PPHS1 would_VM so_RR often_RR do_VDI things_NN2 like_II that_DD1 you_PPY would_VM n't_XX know_VVI yeah_UH yeah_UH very_RG much_DA1		Discussing, Explaining, Inquiring, Announcing, Anecdote telling	Revised	Texts not in Sample release	S0070 S0180	2	2014-08-14	0:31:33	Gordon Square, London	2014 Q3	2014	Close family, partners, very close friends	Language teaching/work, Layout of the park, Lime trees, Chinese guests, Pandas, Bears in China, Landscape and wildlife in China, Boy catches a pigeon, Tibet, China, Tourism in Paris, West Ham United, Devon, Travelling in rural areas, Driving in rural areas, Getting to the Isle of White, Salt in food, A colleague, PhD supervision, Coconut cake and coffee, Chuggers, Coffee, Trinkets, Mobiles, WeChat, Chinese birthdays, Chinese friends, Teaching English in China, Teaching TEFL, Death penalty in China, Drugs	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=7	5867012	5867013
9	SLMB	the water he 's come right back up again gosh that 's good yeah well just for the tape we	're sitting	on the --ANONplace in --ANONplace and there 's a party of five canoeists erm trying to go over the --ANONplace	the_AT water_NN1 he_PPHS1 's_VHZ come_VVN right_JJ back_NN1 up_RP again_RT gosh_UH that_DD1 's_VBZ good_JJ yeah_UH well_RR just_RR for_IF the_AT tape_NN1 we_PPIS2	're_VBR sitting_VVG	on_II the_AT --ANONplace_NP1 in_II --ANONplace_NP1 and_CC there_EX 's_VBZ a_AT1 party_NN1 of_IO five_MC canoeists_NN2 erm_UH trying_VVG to_TO go_VVI over_II the_AT --ANONplace_NP1	Talking about China, while sitting in a car overlooking the weir on the Exe, in Exeter.	Discussing, Explaining, Inquiring, complaining, advising, anecdote telling	Revised	Texts not in Sample release	S0486 S0523	2	2015-11-04	1:04:20	In a car in Exeter.	2015 Q4	2015	Close family, partners, very close friends	Visit to China, people canoeing on the river Exe, politics in china, and population concerns in England, losing our national identity.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=8	6928151	6928152
10	SLPW	fucking used that what would I use half a fucking kitchen roll for ? he 's never fucking quiet he	's sitting	there quiet he 's thinking oh let 's let me hear what else they 've got so I can think	fucking_RR used_VVN that_DD1 what_DDQ would_VM I_PPIS1 use_VVI half_DB a_AT1 fucking_JJ kitchen_NN1 roll_NN1 for_IF ?_YQUE he_PPHS1 's_VBZ never_RR fucking_JJ quiet_JJ he_PPHS1	's_VBZ sitting_VVG	there_RL quiet_JJ he_PPHS1 's_VBZ thinking_VVG oh_UH let_VM21 's_VM22 let_VVI me_PPIO1 hear_VVI what_DDQ else_RR they_PPHS2 've_VH0 got_VVN so_RR I_PPIS1 can_VM think_VVI		Discussing, explaining, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0187 S0188 S0200 S0387	4	2015-03-12	0:18:09	Bristol, home of all speakers	2015 Q1	2015	Close family, partners, very close friends	Experiences, Celebrities, Work, Other family members, Living arrangements, Internet, Other people, university, TV.	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oi&batch=9	6966063	6966064
